"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","first_yes_date","yeartype","dop","year","ind_phen_year","series_yrs"
5674,44.910587,-70.266861,396,"Danaus","plexippus","monarch","Animalia",12711,312,"Flower visitation",2013,6,2,153,2456446,7,"12711_Flower visitation","Feeding","ME",2013-06-02,"calendar",153,2013,"12711_Flower visitation_2013",11
5674,44.910587,-70.266861,396,"Danaus","plexippus","monarch","Animalia",12711,327,"Adults",2013,6,2,153,2456446,7,"12711_Adults","Adults observed","ME",2013-06-02,"calendar",153,2013,"12711_Adults_2013",11
2803,39.971001,-105.397003,288,"Bombus","spp.","bumblebee","Animalia",16049,312,"Flower visitation",2013,6,9,160,2456453,3,"16049_Flower visitation","Feeding","CO",2013-06-09,"calendar",160,2013,"16049_Flower visitation_2013",15
2803,39.971001,-105.397003,288,"Bombus","spp.","bumblebee","Animalia",16049,327,"Adults",2013,5,12,132,2456425,3,"16049_Adults","Adults observed","CO",2013-05-12,"calendar",132,2013,"16049_Adults_2013",14
8496,46.328629,-96.061256,396,"Danaus","plexippus","monarch","Animalia",25783,312,"Flower visitation",2013,8,30,242,2456535,5,"25783_Flower visitation","Feeding","MN",2013-08-30,"calendar",242,2013,"25783_Flower visitation_2013",10
8496,46.328629,-96.061256,396,"Danaus","plexippus","monarch","Animalia",25783,327,"Adults",2013,6,7,158,2456451,3,"25783_Adults","Adults observed","MN",2013-06-07,"calendar",158,2013,"25783_Adults_2013",11
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,312,"Flower visitation",2013,7,1,182,2456475,2,"28350_Flower visitation","Feeding","MN",2013-07-01,"calendar",182,2013,"28350_Flower visitation_2013",9
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,327,"Adults",2013,6,29,180,2456473,2,"28350_Adults","Adults observed","MN",2013-06-29,"calendar",180,2013,"28350_Adults_2013",10
8736,44.903229,-93.217445,391,"Pieris","rapae","cabbage white","Animalia",28351,327,"Adults",2013,7,7,188,2456481,8,"28351_Adults","Adults observed","MN",2013-07-07,"calendar",188,2013,"28351_Adults_2013",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,312,"Flower visitation",2013,8,1,213,2456506,8,"28352_Flower visitation","Feeding","MN",2013-08-01,"calendar",213,2013,"28352_Flower visitation_2013",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,327,"Adults",2013,8,1,213,2456506,8,"28352_Adults","Adults observed","MN",2013-08-01,"calendar",213,2013,"28352_Adults_2013",10
8736,44.903229,-93.217445,393,"Vanessa","atalanta","red admiral","Animalia",28355,327,"Adults",2013,7,10,191,2456484,3,"28355_Adults","Adults observed","MN",2013-07-10,"calendar",191,2013,"28355_Adults_2013",9
