"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","series_yrs","first_yes_date","yeartype","dop","year","resident","present_jan1","ind_phen_year"
5674,44.910587,-70.266861,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",12712,292,"Live individuals",2013,5,13,133,2456426,2,"12712_Live individuals","Adults observed","ME",14,2013-05-13,"calendar",133,2013,FALSE,0,"12712_Live individuals_2013"
2803,39.971001,-105.397003,246,"Turdus","migratorius","American robin","Animalia",16046,292,"Live individuals",2013,3,21,80,2456373,4,"16046_Live individuals","Adults observed","CO",15,2013-03-21,"calendar",80,2013,FALSE,0,"16046_Live individuals_2013"
2803,39.971001,-105.397003,354,"Selasphorus","platycercus","broad-tailed hummingbird","Animalia",16048,292,"Live individuals",2013,4,25,115,2456408,4,"16048_Live individuals","Adults observed","CO",14,2013-04-25,"calendar",115,2013,FALSE,0,"16048_Live individuals_2013"
2803,39.971001,-105.397003,357,"Sialia","mexicana","western bluebird","Animalia",16214,292,"Live individuals",2013,3,31,90,2456383,7,"16214_Live individuals","Adults observed","CO",14,2013-03-31,"calendar",90,2013,FALSE,0,"16214_Live individuals_2013"
8496,46.328629,-96.061256,246,"Turdus","migratorius","American robin","Animalia",25780,292,"Live individuals",2013,3,30,89,2456382,3,"25780_Live individuals","Adults observed","MN",12,2013-03-30,"calendar",89,2013,FALSE,0,"25780_Live individuals_2013"
8496,46.328629,-96.061256,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",25784,292,"Live individuals",2013,5,13,133,2456426,2,"25784_Live individuals","Adults observed","MN",11,2013-05-13,"calendar",133,2013,FALSE,0,"25784_Live individuals_2013"
8496,46.328629,-96.061256,1104,"Hirundo","rustica","barn swallow","Animalia",25894,292,"Live individuals",2013,5,6,126,2456419,2,"25894_Live individuals","Adults observed","MN",10,2013-05-06,"calendar",126,2013,FALSE,0,"25894_Live individuals_2013"
8496,46.328629,-96.061256,355,"Troglodytes","aedon","house wren","Animalia",25897,292,"Live individuals",2013,5,20,140,2456433,3,"25897_Live individuals","Adults observed","MN",11,2013-05-20,"calendar",140,2013,FALSE,0,"25897_Live individuals_2013"
8715,43.522804,-70.802277,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",28193,292,"Live individuals",2013,6,5,156,2456449,7,"28193_Live individuals","Adults observed","ME",13,2013-06-05,"calendar",156,2013,FALSE,0,"28193_Live individuals_2013"
8736,44.903229,-93.217445,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",28356,292,"Live individuals",2013,8,15,227,2456520,3,"28356_Live individuals","Adults observed","MN",10,2013-08-15,"calendar",227,2013,FALSE,0,"28356_Live individuals_2013"
8418,32.363758,-94.873947,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",30980,292,"Live individuals",2013,4,17,107,2456400,3,"30980_Live individuals","Adults observed","TX",11,2013-04-17,"calendar",107,2013,FALSE,0,"30980_Live individuals_2013"
8496,46.328629,-96.061256,375,"Zenaida","macroura","mourning dove","Animalia",32296,292,"Live individuals",2013,4,2,92,2456385,3,"32296_Live individuals","Adults observed","MN",11,2013-04-02,"calendar",92,2013,FALSE,0,"32296_Live individuals_2013"
10145,42.602543,-83.250992,1193,"Setophaga","ruticilla","American redstart","Animalia",38839,293,"Calls or song (birds)",2013,5,14,134,2456427,5,"38839_Calls or song (birds)","Adults observed","MI",9,2013-05-14,"calendar",134,2013,FALSE,0,"38839_Calls or song (birds)_2013"
10145,42.602543,-83.250992,1104,"Hirundo","rustica","barn swallow","Animalia",38845,292,"Live individuals",2013,6,8,159,2456452,1,"38845_Live individuals","Adults observed","MI",13,2013-06-08,"calendar",159,2013,FALSE,0,"38845_Live individuals_2013"
10145,42.602543,-83.250992,363,"Molothrus","ater","brown-headed cowbird","Animalia",38857,292,"Live individuals",2013,4,16,106,2456399,6,"38857_Live individuals","Adults observed","MI",13,2013-04-16,"calendar",106,2013,FALSE,0,"38857_Live individuals_2013"
10145,42.602543,-83.250992,1093,"Chaetura","pelagica","chimney swift","Animalia",38864,292,"Live individuals",2013,6,9,160,2456453,1,"38864_Live individuals","Adults observed","MI",13,2013-06-09,"calendar",160,2013,FALSE,0,"38864_Live individuals_2013"
10145,42.602543,-83.250992,355,"Troglodytes","aedon","house wren","Animalia",38908,292,"Live individuals",2013,6,11,162,2456455,1,"38908_Live individuals","Adults observed","MI",13,2013-06-11,"calendar",162,2013,FALSE,0,"38908_Live individuals_2013"
10145,42.602543,-83.250992,359,"Agelaius","phoeniceus","red-winged blackbird","Animalia",38946,292,"Live individuals",2013,4,20,110,2456403,2,"38946_Live individuals","Adults observed","MI",13,2013-04-20,"calendar",110,2013,FALSE,0,"38946_Live individuals_2013"
10145,42.602543,-83.250992,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",38951,292,"Live individuals",2013,7,29,210,2456503,1,"38951_Live individuals","Adults observed","MI",11,2013-07-29,"calendar",210,2013,FALSE,0,"38951_Live individuals_2013"
10717,38.285664,-111.246605,246,"Turdus","migratorius","American robin","Animalia",42593,292,"Live individuals",2013,5,5,125,2456418,1,"42593_Live individuals","Adults observed","UT",10,2013-05-05,"calendar",125,2013,FALSE,0,"42593_Live individuals_2013"
1419,42.011166,-88.503304,1117,"Sayornis","phoebe","eastern phoebe","Animalia",44642,292,"Live individuals",2013,5,18,138,2456431,6,"44642_Live individuals","Adults observed","IL",9,2013-05-18,"calendar",138,2013,FALSE,0,"44642_Live individuals_2013"
1419,42.011166,-88.503304,244,"Charadrius","vociferus","killdeer","Animalia",10286,293,"Calls or song (birds)",2014,10,10,283,2456941,6,"10286_Calls or song (birds)","Adults observed","IL",10,2014-10-10,"calendar",283,2014,FALSE,0,"10286_Calls or song (birds)_2014"
5582,45.195858,-70.45369,243,"Gavia","immer","common loon","Animalia",12467,293,"Calls or song (birds)",2014,5,1,121,2456779,4,"12467_Calls or song (birds)","Adults observed","ME",12,2014-05-01,"calendar",121,2014,FALSE,0,"12467_Calls or song (birds)_2014"
5583,45.196041,-70.459015,243,"Gavia","immer","common loon","Animalia",12472,292,"Live individuals",2014,5,28,148,2456806,9,"12472_Live individuals","Adults observed","ME",12,2014-05-28,"calendar",148,2014,FALSE,0,"12472_Live individuals_2014"
5674,44.910587,-70.266861,246,"Turdus","migratorius","American robin","Animalia",12709,292,"Live individuals",2014,4,20,110,2456768,7,"12709_Live individuals","Adults observed","ME",13,2014-04-20,"calendar",110,2014,FALSE,0,"12709_Live individuals_2014"
5674,44.910587,-70.266861,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",12712,292,"Live individuals",2014,5,25,145,2456803,7,"12712_Live individuals","Adults observed","ME",14,2014-05-25,"calendar",145,2014,FALSE,0,"12712_Live individuals_2014"
2803,39.971001,-105.397003,246,"Turdus","migratorius","American robin","Animalia",16046,292,"Live individuals",2014,1,23,23,2456681,3,"16046_Live individuals","Adults observed","CO",15,2014-01-23,"calendar",23,2014,FALSE,0,"16046_Live individuals_2014"
2803,39.971001,-105.397003,354,"Selasphorus","platycercus","broad-tailed hummingbird","Animalia",16048,292,"Live individuals",2014,5,1,121,2456779,6,"16048_Live individuals","Adults observed","CO",14,2014-05-01,"calendar",121,2014,FALSE,0,"16048_Live individuals_2014"
2803,39.971001,-105.397003,357,"Sialia","mexicana","western bluebird","Animalia",16214,292,"Live individuals",2014,3,26,85,2456743,6,"16214_Live individuals","Adults observed","CO",14,2014-03-26,"calendar",85,2014,FALSE,0,"16214_Live individuals_2014"
8496,46.328629,-96.061256,246,"Turdus","migratorius","American robin","Animalia",25780,292,"Live individuals",2014,3,26,85,2456743,8,"25780_Live individuals","Adults observed","MN",12,2014-03-26,"calendar",85,2014,FALSE,0,"25780_Live individuals_2014"
8496,46.328629,-96.061256,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",25784,292,"Live individuals",2014,5,11,131,2456789,3,"25784_Live individuals","Adults observed","MN",11,2014-05-11,"calendar",131,2014,FALSE,0,"25784_Live individuals_2014"
8496,46.328629,-96.061256,1104,"Hirundo","rustica","barn swallow","Animalia",25894,292,"Live individuals",2014,5,5,125,2456783,6,"25894_Live individuals","Adults observed","MN",10,2014-05-05,"calendar",125,2014,FALSE,0,"25894_Live individuals_2014"
8496,46.328629,-96.061256,355,"Troglodytes","aedon","house wren","Animalia",25897,292,"Live individuals",2014,5,8,128,2456786,3,"25897_Live individuals","Adults observed","MN",11,2014-05-08,"calendar",128,2014,FALSE,0,"25897_Live individuals_2014"
8715,43.522804,-70.802277,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",28193,292,"Live individuals",2014,5,16,136,2456794,3,"28193_Live individuals","Adults observed","ME",13,2014-05-16,"calendar",136,2014,FALSE,0,"28193_Live individuals_2014"
8736,44.903229,-93.217445,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",28356,292,"Live individuals",2014,9,6,249,2456907,2,"28356_Live individuals","Adults observed","MN",10,2014-09-06,"calendar",249,2014,FALSE,0,"28356_Live individuals_2014"
8418,32.363758,-94.873947,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",30980,292,"Live individuals",2014,4,2,92,2456750,3,"30980_Live individuals","Adults observed","TX",11,2014-04-02,"calendar",92,2014,FALSE,0,"30980_Live individuals_2014"
