"group","common_name","phenophase_description","site_id","latitude","longitude","n","resident","jan1","present_jan1"
"Bird","dark-eyed junco","Calls or song (birds)",17707,37.360123,-122.128151,10,FALSE,"nb",1
"Bird","dark-eyed junco","Fruit/seed consumption",8418,32.363758,-94.873947,10,FALSE,"nb",1
"Bird","dark-eyed junco","Fruit/seed consumption",8923,42.286381,-72.653831,10,FALSE,"nb",1
"Bird","dark-eyed junco","Individuals at a feeding station",8923,42.286381,-72.653831,10,FALSE,"nb",1
"Bird","dark-eyed junco","Live individuals",8418,32.363758,-94.873947,10,FALSE,"nb",1
"Bird","dark-eyed junco","Live individuals",8923,42.286381,-72.653831,10,FALSE,"nb",1
"Bird","dark-eyed junco","Live individuals",17707,37.360123,-122.128151,10,FALSE,"nb",1
"Bird","dark-eyed junco","Singing individuals (birds)",10145,42.602543,-83.250992,10,FALSE,"nb",1
"Bird","dark-eyed junco","Singing individuals (birds)",17707,37.360123,-122.128151,10,FALSE,"nb",1
"Bird","downy woodpecker","Fruit/seed consumption",8418,32.363758,-94.873947,10,TRUE,NA,1
"Bird","downy woodpecker","Individuals at a feeding station",8418,32.363758,-94.873947,10,TRUE,NA,1
"Bird","downy woodpecker","Live individuals",8418,32.363758,-94.873947,10,TRUE,NA,1
"Bird","eastern bluebird","Calls or song (birds)",8923,42.286381,-72.653831,10,FALSE,"nb",1
"Bird","eastern bluebird","Insect consumption",8923,42.286381,-72.653831,10,FALSE,"nb",1
"Bird","eastern bluebird","Live individuals",8418,32.363758,-94.873947,10,FALSE,"nb",1
"Bird","eastern phoebe","Live individuals",1419,42.011166,-88.503304,10,FALSE,"nb",0
"Bird","great blue heron","Calls or song (birds)",19944,33.66478,-117.843063,10,FALSE,"nb",1
"Bird","great blue heron","Live individuals",19944,33.66478,-117.843063,10,FALSE,"nb",1
"Bird","gray catbird","Calls or song (birds)",10145,42.602543,-83.250992,10,FALSE,"nb",0
